parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
log10beta_pop,-7.38855710033588,,0.0430989633047224,0.583320433468169,-7.47303,-7.30408
log10pi_pop,2.7347051570627,,0.0196215634148223,0.717501971433641,2.69625,2.77316
log10rho_pop,-3.35169561445308,,0.085346193768663,2.54635872662886,-3.51897,-3.18442
log10phi_pop,-4.8559540292443,,0.295088175244602,6.07683214189169,-5.43432,-4.27759
beta_log10phi_lcat_2,1.04994270787666,,0.19813860728401,18.8713732470901,0.661598,1.43829
delta_pop,1.60493835237889,,0.452604185932341,28.2007209349491,0.950516,2.70993
beta_delta_lcat_2,0.767292043330492,,0.292995977974433,38.1857182700163,0.19303,1.34155
tau_pop,1.69338313695546,,0.11267402326314,6.65378205346469,1.48698,1.92844
omega_log10pi,0.0827140394909549,3.0246053867027,0.0185973856648367,22.4839528806598,0.0540563,0.126564
omega_log10rho,0.322146705071937,-9.61145468230424,0.0548394591603273,17.0231321000416,0.232351,0.446646
omega_log10phi,0.567951728270152,-11.695986511605,0.0820959701679715,14.4547443174469,0.429665,0.750746
omega_delta,0.422266771403466,44.1808612067712,0.128075703742384,30.3305190973719,0.241399,0.738648
omega_tau,0.636716527336669,70.7046140336456,0.030187477187756,4.74111726202988,0.580306,0.69861
a,1.8872352118687,,0.0172079613583624,0.911807985043025,1.85381,1.92126
plcat_1,0.421178991730941,,0.243170936642876,57.7357706383937,0,0
plcat_2,0.578821008269059,,0.243170936642876,42.0114220404799,0,0
