model,scenario,mean_brier_score,std_brier_score,lower_brier_score,upper_brier_score
XGBoost,S1,0.1914459352195263,0.012573862572095883,0.16467981413006783,0.2080604750663042
XGBoost,S2,0.1916579209268093,0.01561050684855182,0.15330824293196202,0.21135054305195808
XGBoost,S3,0.18349359124898912,0.01984734234472641,0.1278129756450653,0.20683155730366706
XGBoost,S4,0.1660268384963274,0.017971050380469276,0.12334189061075448,0.19230767227709292
XGBoost,S5,0.17262431859970093,0.01800202213115664,0.1264056134968996,0.19743723459541798
LightGBM,S1,0.1803234603872072,0.04326614645211098,0.11757640582471279,0.24874377065393477
LightGBM,S2,0.19011448071267714,0.0529705506605327,0.09350574360824215,0.2484460754750496
LightGBM,S3,0.15872276046842493,0.04841975704746412,0.0945111832984225,0.24674648899801904
LightGBM,S4,0.1716652777677586,0.05438092596501227,0.09557681224306018,0.24422972331836024
LightGBM,S5,0.15945642504837934,0.04873748335556691,0.08850574182609032,0.23896366156477253
Random Forest,S1,0.09219222718396723,0.015414590157634335,0.06356919725987273,0.1265493152634952
Random Forest,S2,0.08783151338381218,0.014922296760285067,0.061448197616883686,0.1228420976252008
Random Forest,S3,0.08611953091302567,0.013912171983930056,0.06169780069996948,0.1183341902816219
Random Forest,S4,0.08328642258594982,0.013328104266500745,0.06241173597902636,0.11438043134569167
Random Forest,S5,0.08153470387984921,0.013428530296984821,0.060223660801611574,0.11244729178271358
Ridge regression,S1,0.10450880932119193,0.016724109585358887,0.07132101837620593,0.1410605036391343
Ridge regression,S2,0.104446230077758,0.01665162530549761,0.07195257658893242,0.14028704915463036
Ridge regression,S3,0.09786227505590997,0.01611352537594019,0.07155610398400943,0.13622429500076322
Ridge regression,S4,0.09506609690683918,0.016252476866320975,0.06885535595662429,0.13353689297364846
Ridge regression,S5,0.09333753474330965,0.016290388721303513,0.0667941134721707,0.13170812517038533
Lasso regression,S1,0.1057789747972412,0.016322203280397414,0.07461477247767898,0.14072121823396802
Lasso regression,S2,0.10587864654499068,0.016826603515490122,0.07440706301607541,0.1424987196133345
Lasso regression,S3,0.1010843829912946,0.0168874128855692,0.07158370040098457,0.13955608923687005
Lasso regression,S4,0.0984765658568413,0.016924705233265138,0.06970661811427406,0.13749153366707176
Lasso regression,S5,0.09716833375876498,0.01702321215710247,0.0680883675976582,0.13617564577742344
ElasticNet regression,S1,0.10390608274046591,0.016794684559338146,0.07123361648625404,0.14078309105044196
ElasticNet regression,S2,0.10381366562481659,0.016735473149490164,0.07131956300201842,0.13988121125340125
ElasticNet regression,S3,0.09747043730461323,0.016220501744850246,0.07058101811549407,0.13557952069610976
ElasticNet regression,S4,0.09471087715836456,0.01634084484945054,0.06845743681473312,0.1331710225373668
ElasticNet regression,S5,0.09302852784273286,0.016374138420701668,0.06657999999512351,0.13147445522079984
