Model,Metric,diff_setup,diff_count,sce1,sce2
XGBoost,AUPRC value,Total S1 - S2 Balanced,47.0,S1,S2
LightGBM,AUPRC value,Total S1 - S2 Balanced,51.0,S1,S2
Random Forest,AUPRC value,Total S1 - S2 Balanced,48.0,S1,S2
Ridge regression,AUPRC value,Total S1 - S2 Balanced,48.0,S1,S2
Lasso regression,AUPRC value,Total S1 - S2 Balanced,53.5,S1,S2
ElasticNet regression,AUPRC value,Total S1 - S2 Balanced,46.5,S1,S2
XGBoost,AUROC value,Total S1 - S2 Balanced,52.0,S1,S2
LightGBM,AUROC value,Total S1 - S2 Balanced,58.0,S1,S2
Random Forest,AUROC value,Total S1 - S2 Balanced,59.0,S1,S2
Ridge regression,AUROC value,Total S1 - S2 Balanced,53.0,S1,S2
Lasso regression,AUROC value,Total S1 - S2 Balanced,58.5,S1,S2
ElasticNet regression,AUROC value,Total S1 - S2 Balanced,54.0,S1,S2
XGBoost,Precision,Total S1 - S2 Balanced,31.0,S1,S2
LightGBM,Precision,Total S1 - S2 Balanced,41.5,S1,S2
Random Forest,Precision,Total S1 - S2 Balanced,32.0,S1,S2
Ridge regression,Precision,Total S1 - S2 Balanced,54.5,S1,S2
Lasso regression,Precision,Total S1 - S2 Balanced,56.0,S1,S2
ElasticNet regression,Precision,Total S1 - S2 Balanced,55.5,S1,S2
XGBoost,Sensitivity,Total S1 - S2 Balanced,66.5,S1,S2
LightGBM,Sensitivity,Total S1 - S2 Balanced,56.5,S1,S2
Random Forest,Sensitivity,Total S1 - S2 Balanced,61.0,S1,S2
Ridge regression,Sensitivity,Total S1 - S2 Balanced,52.5,S1,S2
Lasso regression,Sensitivity,Total S1 - S2 Balanced,51.0,S1,S2
ElasticNet regression,Sensitivity,Total S1 - S2 Balanced,52.0,S1,S2
XGBoost,Specificity,Total S1 - S2 Balanced,17.5,S1,S2
LightGBM,Specificity,Total S1 - S2 Balanced,43.0,S1,S2
Random Forest,Specificity,Total S1 - S2 Balanced,26.0,S1,S2
Ridge regression,Specificity,Total S1 - S2 Balanced,52.0,S1,S2
Lasso regression,Specificity,Total S1 - S2 Balanced,54.5,S1,S2
ElasticNet regression,Specificity,Total S1 - S2 Balanced,54.0,S1,S2
XGBoost,AUPRC value,Total S1 - S3 Balanced,32.0,S1,S3
LightGBM,AUPRC value,Total S1 - S3 Balanced,34.5,S1,S3
Random Forest,AUPRC value,Total S1 - S3 Balanced,35.0,S1,S3
Ridge regression,AUPRC value,Total S1 - S3 Balanced,27.0,S1,S3
Lasso regression,AUPRC value,Total S1 - S3 Balanced,28.0,S1,S3
ElasticNet regression,AUPRC value,Total S1 - S3 Balanced,28.0,S1,S3
XGBoost,AUROC value,Total S1 - S3 Balanced,32.0,S1,S3
LightGBM,AUROC value,Total S1 - S3 Balanced,31.0,S1,S3
Random Forest,AUROC value,Total S1 - S3 Balanced,26.0,S1,S3
Ridge regression,AUROC value,Total S1 - S3 Balanced,29.0,S1,S3
Lasso regression,AUROC value,Total S1 - S3 Balanced,21.5,S1,S3
ElasticNet regression,AUROC value,Total S1 - S3 Balanced,28.0,S1,S3
XGBoost,Precision,Total S1 - S3 Balanced,29.0,S1,S3
LightGBM,Precision,Total S1 - S3 Balanced,27.0,S1,S3
Random Forest,Precision,Total S1 - S3 Balanced,23.5,S1,S3
Ridge regression,Precision,Total S1 - S3 Balanced,37.0,S1,S3
Lasso regression,Precision,Total S1 - S3 Balanced,41.5,S1,S3
ElasticNet regression,Precision,Total S1 - S3 Balanced,41.5,S1,S3
XGBoost,Sensitivity,Total S1 - S3 Balanced,62.5,S1,S3
LightGBM,Sensitivity,Total S1 - S3 Balanced,72.0,S1,S3
Random Forest,Sensitivity,Total S1 - S3 Balanced,53.0,S1,S3
