Metrics,estimate,lower,upper,Model,scenario,criteria_fil
AUPRC_value,24.7928,1.4076,58.0885,XGBoost,Without VL information,"Comorbidity
1-2"
AUROC_value,83.3832,55.917,97.555,XGBoost,Without VL information,"Comorbidity
1-2"
Accuracy,88.9536,80.7346,96.3768,XGBoost,Without VL information,"Comorbidity
1-2"
NPV,99.0278,97.2403,100.0,XGBoost,Without VL information,"Comorbidity
1-2"
Precision,7.6595,0.0,19.4062,XGBoost,Without VL information,"Comorbidity
1-2"
Sensitivity,49.65,0.0,100.0,XGBoost,Without VL information,"Comorbidity
1-2"
Specificity,89.6764,80.6298,98.1955,XGBoost,Without VL information,"Comorbidity
1-2"
AUPRC_value,51.6966,27.7448,76.8236,XGBoost,Without VL information,"Comorbidity
≥3"
AUROC_value,59.2711,35.4573,81.6184,XGBoost,Without VL information,"Comorbidity
≥3"
Accuracy,34.0204,22.5806,48.9674,XGBoost,Without VL information,"Comorbidity
≥3"
NPV,55.6333,0.0,100.0,XGBoost,Without VL information,"Comorbidity
≥3"
Precision,31.372,20.5,44.1146,XGBoost,Without VL information,"Comorbidity
≥3"
Sensitivity,99.1393,87.5,100.0,XGBoost,Without VL information,"Comorbidity
≥3"
Specificity,6.0291,0.0,21.1667,XGBoost,Without VL information,"Comorbidity
≥3"
AUPRC_value,31.3166,2.1011,56.0,LightGBM,Without VL information,"Comorbidity
1-2"
AUROC_value,85.0844,66.7586,96.5512,LightGBM,Without VL information,"Comorbidity
1-2"
Accuracy,78.1036,56.4983,91.1114,LightGBM,Without VL information,"Comorbidity
1-2"
NPV,99.4727,98.1603,100.0,LightGBM,Without VL information,"Comorbidity
1-2"
Precision,5.7846,0.6013,13.129,LightGBM,Without VL information,"Comorbidity
1-2"
Sensitivity,75.15,11.875,100.0,LightGBM,Without VL information,"Comorbidity
1-2"
Specificity,78.1883,55.7277,91.8366,LightGBM,Without VL information,"Comorbidity
1-2"
AUPRC_value,48.6311,19.9167,72.0421,LightGBM,Without VL information,"Comorbidity
≥3"
AUROC_value,53.4286,31.5871,77.7866,LightGBM,Without VL information,"Comorbidity
≥3"
Accuracy,32.1579,21.9758,47.6087,LightGBM,Without VL information,"Comorbidity
≥3"
NPV,35.1937,0.0,100.0,LightGBM,Without VL information,"Comorbidity
≥3"
Precision,30.3496,17.7668,43.3259,LightGBM,Without VL information,"Comorbidity
≥3"
Sensitivity,97.1857,42.8571,100.0,LightGBM,Without VL information,"Comorbidity
≥3"
Specificity,4.0911,0.0,20.5729,LightGBM,Without VL information,"Comorbidity
≥3"
AUPRC_value,17.1359,2.0119,77.1875,Random Forest,Without VL information,"Comorbidity
1-2"
AUROC_value,83.3741,62.7821,99.5422,Random Forest,Without VL information,"Comorbidity
1-2"
Accuracy,87.2819,73.9004,97.6623,Random Forest,Without VL information,"Comorbidity
1-2"
NPV,99.0579,97.3936,100.0,Random Forest,Without VL information,"Comorbidity
1-2"
Precision,7.6043,0.0,27.0,Random Forest,Without VL information,"Comorbidity
1-2"
Sensitivity,52.7833,0.0,100.0,Random Forest,Without VL information,"Comorbidity
1-2"
Specificity,87.9474,73.6102,100.0,Random Forest,Without VL information,"Comorbidity
1-2"
AUPRC_value,48.8668,23.4101,75.2917,Random Forest,Without VL information,"Comorbidity
≥3"
AUROC_value,63.8426,39.8556,84.2537,Random Forest,Without VL information,"Comorbidity
≥3"
Accuracy,30.7362,20.6786,43.3333,Random Forest,Without VL information,"Comorbidity
≥3"
NPV,6.0833,0.0,100.0,Random Forest,Without VL information,"Comorbidity
≥3"
Precision,30.3219,20.6786,41.6641,Random Forest,Without VL information,"Comorbidity
≥3"
Sensitivity,99.6071,93.4375,100.0,Random Forest,Without VL information,"Comorbidity
≥3"
Specificity,1.0693,0.0,14.2857,Random Forest,Without VL information,"Comorbidity
≥3"
AUPRC_value,23.24,1.5697,81.3542,Lasso regression,Without VL information,"Comorbidity
1-2"
AUROC_value,84.1145,54.3871,99.7167,Lasso regression,Without VL information,"Comorbidity
1-2"
Accuracy,85.0911,73.1917,95.7504,Lasso regression,Without VL information,"Comorbidity
1-2"
NPV,99.2118,97.3936,100.0,Lasso regression,Without VL information,"Comorbidity
1-2"
Precision,6.9954,0.0,18.8824,Lasso regression,Without VL information,"Comorbidity
1-2"
Sensitivity,63.1333,0.0,100.0,Lasso regression,Without VL information,"Comorbidity
1-2"
Specificity,85.5641,72.964,97.7053,Lasso regression,Without VL information,"Comorbidity
1-2"
AUPRC_value,44.354,17.6976,76.9654,Lasso regression,Without VL information,"Comorbidity
≥3"
AUROC_value,56.6801,30.9081,80.2702,Lasso regression,Without VL information,"Comorbidity
≥3"
Accuracy,31.893,21.9758,45.6111,Lasso regression,Without VL information,"Comorbidity
≥3"
NPV,25.3333,0.0,100.0,Lasso regression,Without VL information,"Comorbidity
≥3"
Precision,30.6727,20.6786,42.1053,Lasso regression,Without VL information,"Comorbidity
≥3"
Sensitivity,99.7321,100.0,100.0,Lasso regression,Without VL information,"Comorbidity
≥3"
Specificity,2.5833,0.0,16.25,Lasso regression,Without VL information,"Comorbidity
≥3"
AUPRC_value,23.1749,1.544,81.3542,Ridge regression,Without VL information,"Comorbidity
1-2"
AUROC_value,83.825,57.6434,99.7167,Ridge regression,Without VL information,"Comorbidity
1-2"
Accuracy,85.1811,72.8289,94.5947,Ridge regression,Without VL information,"Comorbidity
1-2"
NPV,99.2429,97.6931,100.0,Ridge regression,Without VL information,"Comorbidity
1-2"
Precision,7.2187,0.0,18.4167,Ridge regression,Without VL information,"Comorbidity
1-2"
Sensitivity,64.3333,0.0,100.0,Ridge regression,Without VL information,"Comorbidity
1-2"
Specificity,85.6239,72.7177,95.5042,Ridge regression,Without VL information,"Comorbidity
1-2"
AUPRC_value,45.1123,17.8139,76.9654,Ridge regression,Without VL information,"Comorbidity
≥3"
AUROC_value,57.3479,31.3125,80.2702,Ridge regression,Without VL information,"Comorbidity
≥3"
Accuracy,32.2728,21.9758,47.3684,Ridge regression,Without VL information,"Comorbidity
≥3"
NPV,29.9667,0.0,100.0,Ridge regression,Without VL information,"Comorbidity
≥3"
Precision,30.8294,20.6786,43.6905,Ridge regression,Without VL information,"Comorbidity
≥3"
Sensitivity,99.6071,93.4375,100.0,Ridge regression,Without VL information,"Comorbidity
≥3"
Specificity,3.2962,0.0,16.6667,Ridge regression,Without VL information,"Comorbidity
≥3"
AUPRC_value,23.8732,1.5855,81.3542,ElasticNet regression,Without VL information,"Comorbidity
1-2"
AUROC_value,83.999,57.6434,99.7167,ElasticNet regression,Without VL information,"Comorbidity
1-2"
Accuracy,85.3343,72.8289,96.3375,ElasticNet regression,Without VL information,"Comorbidity
1-2"
NPV,99.2323,97.6769,100.0,ElasticNet regression,Without VL information,"Comorbidity
1-2"
Precision,7.4631,0.0,27.0,ElasticNet regression,Without VL information,"Comorbidity
1-2"
Sensitivity,63.7333,0.0,100.0,ElasticNet regression,Without VL information,"Comorbidity
1-2"
Specificity,85.7925,72.7177,97.779,ElasticNet regression,Without VL information,"Comorbidity
1-2"
AUPRC_value,45.0536,17.8139,76.9654,ElasticNet regression,Without VL information,"Comorbidity
≥3"
AUROC_value,57.1313,30.9081,80.2702,ElasticNet regression,Without VL information,"Comorbidity
≥3"
Accuracy,32.0258,21.9758,47.0351,ElasticNet regression,Without VL information,"Comorbidity
≥3"
NPV,26.9667,0.0,100.0,ElasticNet regression,Without VL information,"Comorbidity
≥3"
Precision,30.7361,20.6786,43.6905,ElasticNet regression,Without VL information,"Comorbidity
≥3"
Sensitivity,99.6071,93.4375,100.0,ElasticNet regression,Without VL information,"Comorbidity
≥3"
Specificity,2.9169,0.0,16.25,ElasticNet regression,Without VL information,"Comorbidity
≥3"
AUPRC_value,13.6414,1.5417,57.1755,XGBoost,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,81.004,57.8842,97.7547,XGBoost,VL at symptom onset,"Comorbidity
1-2"
Accuracy,90.4162,82.6211,96.827,XGBoost,VL at symptom onset,"Comorbidity
1-2"
NPV,98.8039,97.067,100.0,XGBoost,VL at symptom onset,"Comorbidity
1-2"
Precision,5.5181,0.0,17.4621,XGBoost,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,37.0167,0.0,100.0,XGBoost,VL at symptom onset,"Comorbidity
1-2"
Specificity,91.3844,83.3251,97.9485,XGBoost,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,51.2196,25.3481,82.0053,XGBoost,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,62.1829,38.6545,87.1376,XGBoost,VL at symptom onset,"Comorbidity
≥3"
Accuracy,34.7538,22.7273,51.5441,XGBoost,VL at symptom onset,"Comorbidity
≥3"
NPV,62.3833,0.0,100.0,XGBoost,VL at symptom onset,"Comorbidity
≥3"
Precision,31.5929,20.6786,46.4231,XGBoost,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.1036,85.7143,100.0,XGBoost,VL at symptom onset,"Comorbidity
≥3"
Specificity,7.0455,0.0,22.2222,XGBoost,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,34.3023,2.4857,55.7271,LightGBM,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,85.1322,70.1485,96.5512,LightGBM,VL at symptom onset,"Comorbidity
1-2"
Accuracy,81.3529,57.5365,98.7848,LightGBM,VL at symptom onset,"Comorbidity
1-2"
NPV,99.2067,97.1878,100.0,LightGBM,VL at symptom onset,"Comorbidity
1-2"
Precision,3.9716,0.0,11.1111,LightGBM,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,59.5833,0.0,100.0,LightGBM,VL at symptom onset,"Comorbidity
1-2"
Specificity,81.806,57.0556,100.0,LightGBM,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,49.4975,21.7262,72.6786,LightGBM,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,52.8692,33.2036,79.482,LightGBM,VL at symptom onset,"Comorbidity
≥3"
Accuracy,31.0818,20.6786,47.4616,LightGBM,VL at symptom onset,"Comorbidity
≥3"
NPV,15.8889,0.0,100.0,LightGBM,VL at symptom onset,"Comorbidity
≥3"
Precision,30.3053,19.6613,44.1146,LightGBM,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,98.8571,100.0,100.0,LightGBM,VL at symptom onset,"Comorbidity
≥3"
Specificity,1.8945,0.0,17.0455,LightGBM,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,15.1745,1.8411,84.6402,Random Forest,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,81.7849,58.0973,99.7418,Random Forest,VL at symptom onset,"Comorbidity
1-2"
Accuracy,88.5694,75.6977,97.007,Random Forest,VL at symptom onset,"Comorbidity
1-2"
NPV,98.9237,97.3936,100.0,Random Forest,VL at symptom onset,"Comorbidity
1-2"
Precision,6.532,0.0,20.0,Random Forest,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,44.7667,0.0,100.0,Random Forest,VL at symptom onset,"Comorbidity
1-2"
Specificity,89.3839,75.9782,98.5693,Random Forest,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,48.5492,23.5323,80.0778,Random Forest,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,65.5679,39.9405,89.1634,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Accuracy,31.0602,20.6786,43.3333,Random Forest,VL at symptom onset,"Comorbidity
≥3"
NPV,11.7667,0.0,100.0,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Precision,30.3952,20.6786,41.6641,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Sensitivity,99.3571,87.5,100.0,Random Forest,VL at symptom onset,"Comorbidity
≥3"
Specificity,1.6544,0.0,19.4062,Random Forest,VL at symptom onset,"Comorbidity
≥3"
AUPRC_value,19.9287,1.8801,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
AUROC_value,83.6624,54.1546,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Accuracy,84.7331,70.3283,95.4691,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
NPV,99.1995,97.3936,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Precision,6.931,0.0,18.4167,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Sensitivity,62.2167,0.0,100.0,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
Specificity,85.2123,70.3076,97.2546,Lasso regression,VL at symptom onset,"Comorbidity
1-2"
AUPRC_value,42.898,19.5022,73.9436,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
AUROC_value,56.5344,30.1515,80.4015,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Accuracy,32.0265,21.8056,45.6111,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
NPV,26.1333,0.0,100.0,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
Precision,30.7367,20.6786,42.5,Lasso regression,VL at symptom onset,"Comorbidity
≥3"
