Metrics,estimate,lower,upper,models,Model,scenario
AUPRC value,40.4812,22.3328,65.7593,XGBoost (No VL info & SMOTE),XGBoost,S1
AUROC_value,91.5237,80.6452,97.6636,XGBoost (No VL info & SMOTE),XGBoost,S1
Accuracy,87.6314,81.3822,93.0665,XGBoost (No VL info & SMOTE),XGBoost,S1
Accuracy_train,86.4616,81.2513,90.4322,XGBoost (No VL info & SMOTE),XGBoost,S1
NPV,99.3997,98.3108,100.0,XGBoost (No VL info & SMOTE),XGBoost,S1
Precision,18.1561,12.3177,26.8013,XGBoost (No VL info & SMOTE),XGBoost,S1
Sensitivity,82.7,50.0,100.0,XGBoost (No VL info & SMOTE),XGBoost,S1
Specificity,87.785,80.9657,94.081,XGBoost (No VL info & SMOTE),XGBoost,S1
AUPRC value,39.6819,19.6116,61.3963,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
AUROC_value,91.176,79.7924,97.5389,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
Accuracy,88.8338,83.9879,93.5272,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
Accuracy_train,86.3551,81.6965,90.4102,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
NPV,99.2729,98.3301,100.0,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
Precision,19.076,13.6383,29.1028,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
Sensitivity,78.8,50.0,100.0,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
Specificity,89.1464,84.1121,94.2601,XGBoost (VL symp simulated & SMOTE),XGBoost,S2
AUPRC value,43.5403,24.7038,64.8809,XGBoost (VL diag & SMOTE),XGBoost,S3
AUROC_value,92.8433,84.2551,98.2773,XGBoost (VL diag & SMOTE),XGBoost,S3
Accuracy,89.8429,84.7356,93.6556,XGBoost (VL diag & SMOTE),XGBoost,S3
Accuracy_train,86.3126,81.7952,91.4901,XGBoost (VL diag & SMOTE),XGBoost,S3
NPV,99.3111,98.6506,100.0,XGBoost (VL diag & SMOTE),XGBoost,S3
Precision,20.8185,14.0774,30.5478,XGBoost (VL diag & SMOTE),XGBoost,S3
Sensitivity,79.8,60.0,100.0,XGBoost (VL diag & SMOTE),XGBoost,S3
Specificity,90.1558,84.8676,94.0966,XGBoost (VL diag & SMOTE),XGBoost,S3
AUPRC value,43.3939,21.7415,65.9645,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
AUROC_value,93.2148,85.7114,98.2488,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
Accuracy,87.4743,82.6208,91.5408,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
Accuracy_train,86.5997,82.3196,90.736,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
NPV,99.3785,98.4374,100.0,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
Precision,17.5414,12.7716,24.3015,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
Sensitivity,82.3,54.75,100.0,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
Specificity,87.6355,82.5389,91.6044,XGBoost (VL diag + 1 & SMOTE),XGBoost,S4
AUPRC value,44.7082,22.3797,63.8181,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
AUROC_value,93.6593,87.3107,98.2103,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
Accuracy,88.6979,84.5921,92.145,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
Accuracy_train,87.2825,83.2269,91.4901,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
NPV,99.3846,98.3271,100.0,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
Precision,19.1441,13.5135,25.7627,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
Sensitivity,82.2,50.0,100.0,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
Specificity,88.9003,84.4237,92.8349,XGBoost (VL diag + 2 & SMOTE),XGBoost,S5
AUPRC value,38.1486,17.7473,62.3,LightGBM (No VL info & SMOTE),LightGBM,S1
AUROC_value,91.3522,80.2948,96.9942,LightGBM (No VL info & SMOTE),LightGBM,S1
Accuracy,77.6828,57.5453,89.139,LightGBM (No VL info & SMOTE),LightGBM,S1
Accuracy_train,83.8505,72.4312,89.8585,LightGBM (No VL info & SMOTE),LightGBM,S1
NPV,99.5654,98.369,100.0,LightGBM (No VL info & SMOTE),LightGBM,S1
Precision,12.5191,5.3598,20.4884,LightGBM (No VL info & SMOTE),LightGBM,S1
Sensitivity,89.1,64.75,100.0,LightGBM (No VL info & SMOTE),LightGBM,S1
Specificity,77.3271,56.3863,89.2601,LightGBM (No VL info & SMOTE),LightGBM,S1
AUPRC value,39.0655,18.7118,61.7642,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
AUROC_value,91.6016,80.5093,96.6713,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
Accuracy,80.4139,58.1495,95.0227,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
Accuracy_train,84.0447,73.8162,90.0584,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
NPV,99.4324,98.0921,100.0,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
Precision,15.9241,5.6703,33.3333,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
Sensitivity,84.1,50.0,100.0,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
Specificity,80.2991,57.1573,96.1137,LightGBM (VL symp simulated & SMOTE),LightGBM,S2
AUPRC value,41.2322,23.9557,60.7583,LightGBM (VL diag & SMOTE),LightGBM,S3
AUROC_value,92.5391,79.1507,97.6402,LightGBM (VL diag & SMOTE),LightGBM,S3
Accuracy,85.6314,63.1269,95.0227,LightGBM (VL diag & SMOTE),LightGBM,S3
Accuracy_train,85.8396,77.2884,90.6893,LightGBM (VL diag & SMOTE),LightGBM,S3
NPV,99.3207,98.2282,100.0,LightGBM (VL diag & SMOTE),LightGBM,S3
