Model,Metric,Comparison,Mean,Lower,Upper
ElasticNet regression,AUPRC value,S1 - S1,0.0,0.0,0.0
ElasticNet regression,AUPRC value,S1 - S2,-0.004502081731594375,-0.14718701853868713,0.12267992740383032
ElasticNet regression,AUPRC value,S1 - S3,-0.0452251891106732,-0.24667882075950806,0.10717635567220883
ElasticNet regression,AUPRC value,S1 - S4,-0.0438914361248556,-0.23827557619404738,0.12079592268256623
ElasticNet regression,AUPRC value,S1 - S5,-0.06046248020204068,-0.24352090287096298,0.1350599151256576
ElasticNet regression,AUPRC value,S2 - S1,0.004502081731594375,-0.12267992740383038,0.14718701853868696
ElasticNet regression,AUPRC value,S2 - S2,0.0,0.0,0.0
ElasticNet regression,AUPRC value,S2 - S3,-0.04072310737907883,-0.24285314550612466,0.12209075457862936
ElasticNet regression,AUPRC value,S2 - S4,-0.03938935439326122,-0.2565074921096346,0.14422460708180915
ElasticNet regression,AUPRC value,S2 - S5,-0.05596039847044632,-0.29693771233523514,0.14683239761471628
ElasticNet regression,AUPRC value,S3 - S1,0.0452251891106732,-0.10717635567220885,0.2466788207595073
ElasticNet regression,AUPRC value,S3 - S2,0.04072310737907883,-0.12209075457862956,0.2428531455061243
ElasticNet regression,AUPRC value,S3 - S3,0.0,0.0,0.0
ElasticNet regression,AUPRC value,S3 - S4,0.0013337529858176024,-0.11752393330956207,0.14305986075537044
ElasticNet regression,AUPRC value,S3 - S5,-0.01523729109136749,-0.13695413582570343,0.12517165361046542
ElasticNet regression,AUPRC value,S4 - S1,0.0438914361248556,-0.1207959226825665,0.23827557619404713
ElasticNet regression,AUPRC value,S4 - S2,0.03938935439326122,-0.14422460708180965,0.2565074921096343
ElasticNet regression,AUPRC value,S4 - S3,-0.0013337529858176024,-0.1430598607553705,0.11752393330956197
ElasticNet regression,AUPRC value,S4 - S4,0.0,0.0,0.0
ElasticNet regression,AUPRC value,S4 - S5,-0.01657104407718509,-0.12986643923024196,0.03509644589467175
ElasticNet regression,AUPRC value,S5 - S1,0.06046248020204068,-0.1350599151256577,0.24352090287096273
ElasticNet regression,AUPRC value,S5 - S2,0.05596039847044632,-0.1468323976147166,0.296937712335235
ElasticNet regression,AUPRC value,S5 - S3,0.01523729109136749,-0.12517165361046556,0.1369541358257034
ElasticNet regression,AUPRC value,S5 - S4,0.01657104407718509,-0.03509644589467184,0.12986643923024185
ElasticNet regression,AUPRC value,S5 - S5,0.0,0.0,0.0
ElasticNet regression,AUROC value,S1 - S1,0.0,0.0,0.0
ElasticNet regression,AUROC value,S1 - S2,0.0012040498442367675,-0.006654984423676055,0.013302180685358265
ElasticNet regression,AUROC value,S1 - S3,-0.007540498442367579,-0.041682242990654095,0.03995716510903425
